country,network,mahalanobis
CHINA,USA,1849.6558302779729
RUSSIAN FEDERATION,USA,967.4724715331276
TURKEY,USA,695.0559964089698
AZERBAIJAN,USA,513.8775574001713
CONGO,USA,411.7794109045676
INDONESIA,USA,396.81383028644177
CHILE,USA,388.9954986518709
ITALY,USA,360.3145725079298
INDIA,USA,355.8169609296599
CÔTE D'IVOIRE,USA,346.1528061253289
"TANZANIA, UNITED REPUBLIC OF",USA,328.1589183287406
GREECE,USA,306.5934450044055
ARGENTINA,USA,302.9469882125254
PHILIPPINES,USA,292.6571084191437
SENEGAL,USA,288.12814800396586
OMAN,USA,287.43967158458736
COMOROS,USA,284.4619961154078
TIMOR-LESTE,USA,281.81031989254086
BOSNIA AND HERZEGOVINA,USA,280.32170552140286
BURKINA FASO,USA,278.47508867082774
NETHERLANDS,USA,271.15666248600746
CAMEROON,USA,266.7562783753842
AUSTRIA,USA,261.60017227977914
THAILAND,USA,255.88301881899417
BANGLADESH,USA,246.99058363314816
ESTONIA,USA,245.34941114507194
SUDAN,USA,242.10580300806043
HAITI,USA,241.45282037446884
LUXEMBOURG,USA,240.37633730553327
ETHIOPIA,USA,240.32146863023547
ISRAEL,USA,238.34082259994557
GABON,USA,234.6575259945348
CAMBODIA,USA,233.93748902329776
JORDAN,USA,232.3436895759811
SWITZERLAND,USA,231.7215346048345
NORTH MACEDONIA,USA,230.3885695548614
CZECHIA,USA,226.9068638467798
SINGAPORE,USA,219.82149788743095
NIGER,USA,219.69743181923945
UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND,USA,219.13955908160318
MYANMAR,USA,216.6899232644363
SURINAME,USA,213.95794042867908
DJIBOUTI,USA,213.8583433479672
BAHRAIN,USA,202.49246066450627
FRANCE,USA,201.62612179520488
SAMOA,USA,199.72115418307422
"MICRONESIA, FEDERATED STATES OF",USA,199.284802648585
UNITED ARAB EMIRATES,USA,198.63668217201666
BELGIUM,USA,197.7980298135982
"MOLDOVA, REPUBLIC OF",USA,194.33995419702455
TOGO,USA,192.94225590815677
ARMENIA,USA,192.05269644395435
BENIN,USA,191.23056890247062
"CONGO, DEMOCRATIC REPUBLIC OF THE",USA,191.02011831322307
BELIZE,USA,189.6047280554078
CROATIA,USA,187.42231853784745
BURUNDI,USA,182.3554135328314
SOMALIA,USA,182.16985949527066
CANADA,USA,181.60749433423803
ZIMBABWE,USA,179.4178913290093
MALAWI,USA,178.54473161803583
GERMANY,USA,177.44814353365172
JAMAICA,USA,177.0372185385745
COSTA RICA,USA,174.82528999708984
BRUNEI DARUSSALAM,USA,172.31167100958515
KENYA,USA,172.28300199832984
MALI,USA,171.54797117561884
FIJI,USA,171.38537835589665
LIBERIA,USA,167.6343986421165
NORWAY,USA,166.40321008480066
LEBANON,USA,163.02085908269146
MALAYSIA,USA,161.82238136440674
DOMINICAN REPUBLIC,USA,159.97435575787676
SWEDEN,USA,157.14217015205134
BARBADOS,USA,156.37576440190725
LAO PEOPLE'S DEMOCRATIC REPUBLIC,USA,155.27397497060076
TRINIDAD AND TOBAGO,USA,155.04079220405902
SLOVAKIA,USA,153.7296028024656
ALGERIA,USA,153.29739122218905
BERMUDA,USA,153.02516820818641
MONTENEGRO,USA,144.36740084300368
BULGARIA,USA,143.54484211148736
IRELAND,USA,140.85902644572874
SOUTH AFRICA,USA,140.24563139726456
SOUTH SUDAN,USA,139.32620609541783
MOROCCO,USA,138.38152661748754
LESOTHO,USA,136.62815579035947
POLAND,USA,136.3030589914958
MAURITIUS,USA,134.05735707664485
MALTA,USA,133.7216626509245
MADAGASCAR,USA,124.86009447446689
"PALESTINE, STATE OF",USA,124.02876684269314
UZBEKISTAN,USA,119.0626849002636
UNITED STATES OF AMERICA,USA,116.27487127625159
PORTUGAL,USA,114.81538238495887
SLOVENIA,USA,112.9299853375453
EGYPT,USA,112.24502364836553
ICELAND,USA,109.70004743295829
GAMBIA,USA,103.79256930225324
UGANDA,USA,103.575614661896
NEPAL,USA,100.97574944085649
HONDURAS,USA,100.6500247141397
ESWATINI,USA,99.54857774754083
CENTRAL AFRICAN REPUBLIC,USA,97.6569411581911
LITHUANIA,USA,96.3343642620498
KAZAKHSTAN,USA,93.87818943066088
GHANA,USA,93.06101040619751
AUSTRALIA,USA,89.95780272976162
NIGERIA,USA,87.95191900576106
ZAMBIA,USA,87.47900319063456
NEW ZEALAND,USA,84.12865813847418
MOZAMBIQUE,USA,77.19864755868434
ROMANIA,USA,75.82099887242867
BAHAMAS,USA,74.88573451450475
PAPUA NEW GUINEA,USA,73.63506084956566
RWANDA,USA,70.12512304525228
SRI LANKA,USA,70.03035770851761
EQUATORIAL GUINEA,USA,67.74737553962541
BOTSWANA,USA,67.08190571025739
GUYANA,USA,66.26952043823087
AFGHANISTAN,USA,65.77882383579208
GUINEA,USA,61.9900310791611
TAJIKISTAN,USA,60.4739875863238
MAURITANIA,USA,58.90075376839627
FINLAND,USA,56.56853892257706
DENMARK,USA,55.113011517013405
TUNISIA,USA,53.30485874271062
CABO VERDE,USA,51.88620234845962
CYPRUS,USA,50.320577104217904
LATVIA,USA,42.56263446927164
URUGUAY,USA,40.0038981240848
PAKISTAN,USA,39.49571674053911
PARAGUAY,USA,35.97022188232836
