source,ids,num_topics,languages,years
RUS,341458109,2,ru,all
RUS,341458109,2,en,2018
RUS,341458109,2,en,2019
RUS,341458109,2,en,2020
RUS,341458109,2,en,2017
RUS,341458109,2,en,2021
RUS,341458109,2,en,2016
RUS,341458109,2,en,2014
RUS,341458109,2,en,2015
RUS,341458109,2,en,2013
RUS,341458109,2,en,all
RUS,341458109,2,fr,2013
RUS,341458109,2,fr,all
RUS,341458109,2,all,2018
RUS,341458109,2,all,2019
RUS,341458109,2,all,2020
RUS,341458109,2,all,2017
RUS,341458109,2,all,2021
RUS,341458109,2,all,2016
RUS,341458109,2,all,2014
RUS,341458109,2,all,2015
RUS,341458109,2,all,2013
RUS,341458109,2,all,all
RUS,2443627328,2,ru,2018
RUS,2443627328,2,ru,2019
RUS,2443627328,2,ru,2020
RUS,2443627328,2,ru,2021
RUS,2443627328,2,ru,all
RUS,2443627328,2,en,2019
RUS,2443627328,2,en,2020
RUS,2443627328,2,en,2017
RUS,2443627328,2,en,2016
RUS,2443627328,2,en,2015
RUS,2443627328,2,en,all
RUS,2443627328,2,fr,2018
RUS,2443627328,2,fr,all
RUS,2443627328,2,all,2018
RUS,2443627328,2,all,2019
RUS,2443627328,2,all,2020
RUS,2443627328,2,all,2017
RUS,2443627328,2,all,2021
RUS,2443627328,2,all,2016
RUS,2443627328,2,all,2015
RUS,2443627328,2,all,all
RUS,343283070,2,ru,2018
RUS,343283070,2,ru,2019
RUS,343283070,2,ru,2020
RUS,343283070,2,ru,2017
RUS,343283070,2,ru,2021
RUS,343283070,2,ru,2016
RUS,343283070,2,ru,2014
RUS,343283070,2,ru,2013
RUS,343283070,2,ru,2012
RUS,343283070,2,ru,all
RUS,343283070,2,en,2018
RUS,343283070,2,en,2019
RUS,343283070,2,en,2020
RUS,343283070,2,en,2016
RUS,343283070,2,en,all
RUS,343283070,2,fr,2018
RUS,343283070,2,fr,2019
RUS,343283070,2,fr,2020
RUS,343283070,2,fr,2017
RUS,343283070,2,fr,2021
RUS,343283070,2,fr,2016
RUS,343283070,2,fr,2014
RUS,343283070,2,fr,2015
RUS,343283070,2,fr,2013
RUS,343283070,2,fr,2012
RUS,343283070,2,fr,all
RUS,343283070,2,all,2018
RUS,343283070,2,all,2019
RUS,343283070,2,all,2020
RUS,343283070,2,all,2017
RUS,343283070,2,all,2021
RUS,343283070,2,all,2016
RUS,343283070,2,all,2014
RUS,343283070,2,all,2015
RUS,343283070,2,all,2013
RUS,343283070,2,all,2012
RUS,343283070,2,all,all
RUS,340383579,2,es,2018
RUS,340383579,2,es,2019
RUS,340383579,2,es,2020
RUS,340383579,2,es,2017
RUS,340383579,2,es,2021
RUS,340383579,2,es,2016
RUS,340383579,2,es,2015
RUS,340383579,2,es,all
RUS,340383579,2,ru,2018
RUS,340383579,2,ru,2017
RUS,340383579,2,ru,2016
RUS,340383579,2,ru,all
RUS,340383579,2,en,2019
RUS,340383579,2,en,2017
RUS,340383579,2,en,all
RUS,340383579,2,fr,2017
RUS,340383579,2,fr,all
RUS,340383579,2,all,2018
RUS,340383579,2,all,2019
RUS,340383579,2,all,2020
RUS,340383579,2,all,2017
RUS,340383579,2,all,2021
RUS,340383579,2,all,2016
RUS,340383579,2,all,2015
RUS,340383579,2,all,all
RUS,841547755449417728,2,ru,2018
RUS,841547755449417728,2,ru,2019
RUS,841547755449417728,2,ru,2020
RUS,841547755449417728,2,ru,2017
RUS,841547755449417728,2,ru,2021
RUS,841547755449417728,2,ru,all
RUS,841547755449417728,2,en,2017
RUS,841547755449417728,2,en,all
RUS,841547755449417728,2,all,2018
RUS,841547755449417728,2,all,2019
RUS,841547755449417728,2,all,2020
RUS,841547755449417728,2,all,2017
RUS,841547755449417728,2,all,2021
RUS,841547755449417728,2,all,all
RUS,2393592282,2,ru,2018
RUS,2393592282,2,ru,2019
RUS,2393592282,2,ru,2020
RUS,2393592282,2,ru,2021
RUS,2393592282,2,ru,all
RUS,2393592282,2,en,2018
RUS,2393592282,2,en,2019
RUS,2393592282,2,en,2020
RUS,2393592282,2,en,2017
RUS,2393592282,2,en,2021
RUS,2393592282,2,en,2016
RUS,2393592282,2,en,2014
RUS,2393592282,2,en,2015
RUS,2393592282,2,en,all
RUS,2393592282,2,fr,2018
RUS,2393592282,2,fr,2019
RUS,2393592282,2,fr,all
RUS,2393592282,2,all,2018
RUS,2393592282,2,all,2019
RUS,2393592282,2,all,2020
RUS,2393592282,2,all,2017
RUS,2393592282,2,all,2021
RUS,2393592282,2,all,2016
RUS,2393592282,2,all,2014
RUS,2393592282,2,all,2015
RUS,2393592282,2,all,all
RUS,3001108415,2,ru,2018
RUS,3001108415,2,ru,2019
RUS,3001108415,2,ru,2020
RUS,3001108415,2,ru,2017
RUS,3001108415,2,ru,2021
RUS,3001108415,2,ru,2016
RUS,3001108415,2,ru,2015
RUS,3001108415,2,ru,all
RUS,3001108415,2,en,2018
RUS,3001108415,2,en,2019
RUS,3001108415,2,en,2017
RUS,3001108415,2,en,2021
RUS,3001108415,2,en,2016
RUS,3001108415,2,en,2015
RUS,3001108415,2,en,all
RUS,3001108415,2,all,2018
RUS,3001108415,2,all,2019
RUS,3001108415,2,all,2020
RUS,3001108415,2,all,2017
RUS,3001108415,2,all,2021
RUS,3001108415,2,all,2016
RUS,3001108415,2,all,2015
RUS,3001108415,2,all,all
RUS,2887426436,2,ru,2018
RUS,2887426436,2,ru,2019
RUS,2887426436,2,ru,2020
RUS,2887426436,2,ru,2017
RUS,2887426436,2,ru,2021
RUS,2887426436,2,ru,2016
RUS,2887426436,2,ru,2014
RUS,2887426436,2,ru,2015
RUS,2887426436,2,ru,all
RUS,2887426436,2,en,2018
RUS,2887426436,2,en,2019
RUS,2887426436,2,en,2017
RUS,2887426436,2,en,2016
RUS,2887426436,2,en,2014
RUS,2887426436,2,en,2015
RUS,2887426436,2,en,all
RUS,2887426436,2,fr,2017
RUS,2887426436,2,fr,2016
RUS,2887426436,2,fr,2015
RUS,2887426436,2,fr,all
RUS,2887426436,2,all,2018
RUS,2887426436,2,all,2019
RUS,2887426436,2,all,2020
RUS,2887426436,2,all,2017
RUS,2887426436,2,all,2021
RUS,2887426436,2,all,2016
RUS,2887426436,2,all,2014
RUS,2887426436,2,all,2015
RUS,2887426436,2,all,all
RUS,355463027,2,es,2021
RUS,355463027,2,es,all
RUS,355463027,2,ru,2018
RUS,355463027,2,ru,2019
RUS,355463027,2,ru,2020
RUS,355463027,2,ru,2017
RUS,355463027,2,ru,2021
RUS,355463027,2,ru,2016
RUS,355463027,2,ru,2014
RUS,355463027,2,ru,2015
RUS,355463027,2,ru,2012
RUS,355463027,2,ru,all
RUS,355463027,2,en,2020
RUS,355463027,2,en,2021
RUS,355463027,2,en,2016
RUS,355463027,2,en,2014
RUS,355463027,2,en,2015
RUS,355463027,2,en,all
RUS,355463027,2,all,2018
RUS,355463027,2,all,2019
RUS,355463027,2,all,2020
RUS,355463027,2,all,2017
RUS,355463027,2,all,2021
RUS,355463027,2,all,2016
RUS,355463027,2,all,2014
RUS,355463027,2,all,2015
RUS,355463027,2,all,2012
RUS,355463027,2,all,all
RUS,337801457,2,es,2019
RUS,337801457,2,es,all
RUS,337801457,2,ru,2018
RUS,337801457,2,ru,2019
RUS,337801457,2,ru,2020
RUS,337801457,2,ru,2017
RUS,337801457,2,ru,2021
RUS,337801457,2,ru,2016
RUS,337801457,2,ru,2015
RUS,337801457,2,ru,2012
RUS,337801457,2,ru,2011
RUS,337801457,2,ru,all
RUS,337801457,2,en,2018
RUS,337801457,2,en,2019
RUS,337801457,2,en,2020
RUS,337801457,2,en,2017
RUS,337801457,2,en,2021
RUS,337801457,2,en,2016
RUS,337801457,2,en,2014
RUS,337801457,2,en,2015
RUS,337801457,2,en,2013
RUS,337801457,2,en,2012
RUS,337801457,2,en,2011
RUS,337801457,2,en,all
RUS,337801457,2,fr,2018
RUS,337801457,2,fr,2019
RUS,337801457,2,fr,2020
RUS,337801457,2,fr,2017
RUS,337801457,2,fr,2021
RUS,337801457,2,fr,2016
RUS,337801457,2,fr,2015
RUS,337801457,2,fr,2013
RUS,337801457,2,fr,2012
RUS,337801457,2,fr,all
RUS,337801457,2,all,2018
RUS,337801457,2,all,2019
RUS,337801457,2,all,2020
RUS,337801457,2,all,2017
RUS,337801457,2,all,2021
RUS,337801457,2,all,2016
RUS,337801457,2,all,2014
RUS,337801457,2,all,2015
RUS,337801457,2,all,2013
RUS,337801457,2,all,2012
RUS,337801457,2,all,2011
RUS,337801457,2,all,all
RUS,2834271215,2,ru,2018
RUS,2834271215,2,ru,2019
RUS,2834271215,2,ru,2020
RUS,2834271215,2,ru,2017
RUS,2834271215,2,ru,2021
RUS,2834271215,2,ru,2016
RUS,2834271215,2,ru,2014
RUS,2834271215,2,ru,2015
RUS,2834271215,2,ru,all
RUS,2834271215,2,en,2018
RUS,2834271215,2,en,2019
RUS,2834271215,2,en,2020
RUS,2834271215,2,en,2016
RUS,2834271215,2,en,2014
RUS,2834271215,2,en,2015
RUS,2834271215,2,en,all
RUS,2834271215,2,fr,2018
RUS,2834271215,2,fr,2019
RUS,2834271215,2,fr,2020
RUS,2834271215,2,fr,2017
RUS,2834271215,2,fr,2021
RUS,2834271215,2,fr,2016
