source,ids,num_topics,languages,years
USA,21645304,2,en,2021
USA,21645304,2,en,2016
USA,21645304,2,en,2020
USA,21645304,2,en,2021
USA,21645304,2,en,2016
USA,21645304,2,en,2020
USA,21645304,2,en,2019
USA,21645304,2,en,2018
USA,21645304,2,en,2014
USA,21645304,2,en,2015
USA,21645304,2,en,2012
USA,21645304,2,en,2013
USA,21645304,2,en,2017
USA,21645304,2,en,2009
USA,21645304,2,en,all
USA,21645304,2,fr,2020
USA,21645304,2,fr,2019
USA,21645304,2,fr,2017
USA,21645304,2,fr,all
USA,21645304,2,all,2021
USA,21645304,2,all,2016
USA,21645304,2,all,2020
USA,21645304,2,all,2019
USA,21645304,2,all,2018
USA,21645304,2,all,2014
USA,21645304,2,all,2015
USA,21645304,2,all,2012
USA,21645304,2,all,2013
USA,21645304,2,all,2017
USA,21645304,2,all,2009
USA,21645304,2,all,all
USA,498663728,2,en,2021
USA,498663728,2,en,2016
USA,498663728,2,en,2020
USA,498663728,2,en,2019
USA,498663728,2,en,2018
USA,498663728,2,en,2014
USA,498663728,2,en,2015
USA,498663728,2,en,2017
USA,498663728,2,en,all
USA,498663728,2,all,2021
USA,498663728,2,all,2016
USA,498663728,2,all,2020
USA,498663728,2,all,2019
USA,498663728,2,all,2018
USA,498663728,2,all,2014
USA,498663728,2,all,2015
USA,498663728,2,all,2017
USA,498663728,2,all,all
USA,266008957,2,en,2021
USA,266008957,2,en,2016
USA,266008957,2,en,2020
USA,266008957,2,en,2019
USA,266008957,2,en,2018
USA,266008957,2,en,2014
USA,266008957,2,en,2015
USA,266008957,2,en,2017
USA,266008957,2,en,all
USA,266008957,2,es,2017
USA,266008957,2,es,all
USA,266008957,2,fr,2016
USA,266008957,2,fr,2020
USA,266008957,2,fr,2019
USA,266008957,2,fr,2018
USA,266008957,2,fr,2014
USA,266008957,2,fr,2015
USA,266008957,2,fr,2017
USA,266008957,2,fr,all
USA,266008957,2,all,2021
USA,266008957,2,all,2016
USA,266008957,2,all,2020
USA,266008957,2,all,2019
USA,266008957,2,all,2018
USA,266008957,2,all,2014
USA,266008957,2,all,2015
USA,266008957,2,all,2017
USA,266008957,2,all,all
USA,486678517,2,en,2021
USA,486678517,2,en,2020
USA,486678517,2,en,2019
USA,486678517,2,en,2018
USA,486678517,2,en,2017
USA,486678517,2,en,all
USA,486678517,2,es,2021
USA,486678517,2,es,2020
USA,486678517,2,es,2019
USA,486678517,2,es,2018
USA,486678517,2,es,2017
USA,486678517,2,es,all
USA,486678517,2,fr,2021
USA,486678517,2,fr,2020
USA,486678517,2,fr,2018
USA,486678517,2,fr,2017
USA,486678517,2,fr,all
USA,486678517,2,all,2021
USA,486678517,2,all,2020
USA,486678517,2,all,2019
USA,486678517,2,all,2018
USA,486678517,2,all,2017
USA,486678517,2,all,all
