,2D-0,2D-1,3D-0,3D-1,3D-2,Country,class,binary_class,continent_name,ISO_A3,continent_colors
0,-1.3700610353658513,-1.080005229485181,-1.3700610353658513,-1.0800052294853117,0.5398471518838179,AFGHANISTAN,America,red,Asia,AFG,red
1,-1.0083325910833678,-0.01620463684432348,-1.0083325910833683,-0.01620463684453123,0.08463231023263494,ALBANIA,America,red,Europe,ALB,purple
2,-0.8839072730814982,-0.18938091877490865,-0.8839072730814992,-0.1893809187748301,0.9954886310258184,ALGERIA,America,red,Africa,DZA,orange
3,-1.2747427134323437,0.6359014305587682,-1.2747427134323432,0.6359014305582741,-0.2532767371550684,ARGENTINA,America,red,South America,ARG,green
4,-0.729105539339244,-0.8381191720551529,-0.7291055393392448,-0.8381191720552492,-0.07790534265291968,ARMENIA,America,red,Europe,ARM,purple
5,-1.743601118209594,-0.6904816298110734,-1.7436011182095967,-0.6904816298109154,-0.3653828472382001,AUSTRALIA,America,red,Australia,AUS,blue
6,-1.4120265298155432,-0.49614045634191756,-1.4120265298155443,-0.49614045634190873,-0.2633862142424878,AUSTRIA,America,red,Europe,AUT,purple
7,-0.38747363379865385,-0.4009746697369686,-0.38747363379865496,-0.40097466973709917,0.19517335663729152,AZERBAIJAN,America,red,Europe,AZE,purple
8,-1.7392483666220118,-0.811656101212154,-1.7392483666220129,-0.8116561012123235,-0.302497551049538,BAHAMAS,America,red,North America,BHS,yellow
9,-1.09335932584754,-0.9109049716494766,-1.0933593258475414,-0.9109049716494833,1.186158943068718,BAHRAIN,America,red,Asia,BHR,red
10,-1.3622777095756222,-0.888845165477949,-1.3622777095756236,-0.8888451654778264,0.19533032263035696,BANGLADESH,America,red,Asia,BGD,red
11,-1.8854139671378276,-0.7268126560137598,-1.8854139671378294,-0.7268126560137262,-0.3178021110635151,BARBADOS,America,red,North America,BRB,yellow
12,2.7132279108406534,-0.6105522358146068,2.7132279108406556,-0.6105522358146511,-0.07172908907070219,BELARUS,America,red,Europe,BLR,purple
13,-1.7284106920687643,-0.781758566547414,-1.7284106920687659,-0.7817585665473741,-0.24413948024025428,BELGIUM,America,red,Europe,BEL,purple
14,-1.7700074926629972,-0.7706633904573262,-1.7700074926629985,-0.7706633904573439,-0.23276783721820693,BELIZE,America,red,Central America,BLZ,lightgreen
15,-1.2195568228377953,0.9182537574325811,-1.2195568228377958,0.9182537574325949,-0.040508465483686196,BENIN,America,red,Africa,BEN,orange
16,-1.7773213588454184,-0.735781386913594,-1.7773213588454206,-0.7357813869135633,-0.47009840566417815,BERMUDA,America,red,North America,BMU,yellow
17,-0.6471025486686919,3.219584410077185,-0.6471025486686928,3.2195844100771565,0.12435061387338094,"BOLIVIA, PLURINATIONAL STATE OF",America,red,South America,BOL,green
18,-1.2221924108689501,-0.426363738518992,-1.2221924108689504,-0.42636373851911286,-0.2806389605777916,BOSNIA AND HERZEGOVINA,America,red,Europe,BIH,purple
19,-1.8676292541059292,-0.8068528456139263,-1.8676292541059307,-0.8068528456137638,-0.16375468975738472,BOTSWANA,America,red,Africa,BWA,orange
20,-0.5019927063473274,2.8737453486951385,-0.5019927063473271,2.873745348695003,0.30688306225468287,BRAZIL,America,red,South America,BRA,green
21,-1.7663430600528764,-0.7508928593366163,-1.766343060052879,-0.7508928593364608,-0.3206219041323394,BRUNEI DARUSSALAM,America,red,Asia,BRN,red
22,-0.23338089208088647,-0.7158392999350367,-0.23338089208088686,-0.7158392999350398,-0.3804602082659332,BULGARIA,America,red,Europe,BGR,purple
23,-1.1824818875574166,1.314054064071395,-1.1824818875574172,1.3140540640713976,-0.07857577525942606,BURKINA FASO,America,red,Africa,BFA,orange
24,-1.6978345007884044,-0.5791784394695714,-1.6978345007884066,-0.5791784394695616,-0.17077360802322727,BURUNDI,America,red,Africa,BDI,orange
25,-1.096329735120043,1.0684700791883852,-1.0963297351200452,1.068470079188418,-0.07591009713708155,CABO VERDE,America,red,Africa,CPV,orange
26,-1.6777068662467782,-0.816078288501622,-1.6777068662467784,-0.8160782885016158,-0.2594478542858578,CAMBODIA,America,red,Asia,KHM,red
27,-1.4546037905411295,0.5017197444334878,-1.454603790541131,0.5017197444334605,-0.07693248535951092,CAMEROON,America,red,Africa,CMR,orange
28,-1.825330142306802,-0.7811302317083377,-1.825330142306803,-0.7811302317084299,-0.3567885901819179,CANADA,America,red,Central America,CAN,lightgreen
29,-1.254262944745935,0.45443747908447135,-1.254262944745936,0.4544374790845086,-0.05903322569031703,CENTRAL AFRICAN REPUBLIC,America,red,Africa,CAF,orange
30,-0.6951950308643552,3.3253463191261945,-0.695195030864356,3.325346319126175,0.11359032915951073,CHILE,America,red,South America,CHL,green
31,0.04086326011541112,-0.2472697814840302,0.04086326011541234,-0.24726978148422377,0.2479778413671064,CHINA,America,red,Asia,CHN,red
32,-0.5617472773786403,3.616345072724539,-0.5617472773786403,3.6163450727244424,0.18636768837435294,COLOMBIA,America,red,South America,COL,green
