,2D-0,2D-1,3D-0,3D-1,3D-2,Country,class,binary_class,continent_name,ISO_A3,continent_colors
0,-0.28458273028088804,0.012021305917515306,-0.2845827302823336,0.012020717096134826,-0.07718204220337933,AFGHANISTAN,America,red,Asia,AFG,red
1,-0.31913569837139416,0.16347755064287628,-0.3191356983699826,0.16347977390039062,-0.03593353742424311,ALBANIA,America,red,Europe,ALB,purple
2,-0.3359227297449959,-0.027026051893492598,-0.3359227297462068,-0.027025962765849634,-0.008832306150364191,ALGERIA,America,red,Africa,DZA,orange
3,-0.32760367104313487,-0.284947542788935,-0.32760367104336324,-0.28494818706851466,0.29371317863773216,ARGENTINA,America,red,South America,ARG,green
4,-0.34459255732300287,0.4381886039339429,-0.34459255732359073,0.4381870691144991,0.02394056478947627,ARMENIA,America,red,Europe,ARM,purple
5,-0.2651606191552521,-0.12967355214747225,-0.26516061915369543,-0.12967319984580336,-0.03759216225048236,AUSTRALIA,America,red,Australia,AUS,blue
6,-0.34664807056903596,0.4144686197888528,-0.34664807056890307,0.4144677047474049,0.08212247172657938,AUSTRIA,America,red,Europe,AUT,purple
7,-0.2733478078912868,-0.06434394470696929,-0.2733478078941367,-0.06434646678269174,-0.006730875346818031,AZERBAIJAN,America,red,Europe,AZE,purple
8,-0.36505915998065774,-0.08312313277421154,-0.36505915998144944,-0.08312205793291141,0.12500882134687208,BAHAMAS,America,red,North America,BHS,yellow
9,-0.37558233340029373,0.12596291500948611,-0.37558233340357505,0.1259615604141182,0.03238929269813453,BAHRAIN,America,red,Asia,BHR,red
10,-0.2763730218835528,-0.020298564067639017,-0.27637302188282215,-0.02029813758865765,-0.13761876279360624,BANGLADESH,America,red,Asia,BGD,red
11,-0.3958131049657756,0.045511874988461765,-0.39581310496633476,0.04551293458760331,0.030609986677830034,BARBADOS,America,red,North America,BRB,yellow
12,-0.291987635061599,0.042881282032165895,-0.2919876350648641,0.042882363725037884,0.029075134151903635,BELARUS,America,red,Europe,BLR,purple
13,-0.35937800843916373,0.40895892191361366,-0.35937800843834156,0.4089589687183951,-0.007681188638275379,BELGIUM,America,red,Europe,BEL,purple
14,-0.24641616608279554,-0.20225731036516026,-0.24641616608443154,-0.20225905712203127,-0.04240123377771257,BELIZE,America,red,Central America,BLZ,lightgreen
15,-0.2754853761907335,-0.23306211202378063,-0.27548537618935326,-0.23306171759677755,-0.1434376663410358,BENIN,America,red,Africa,BEN,orange
16,-0.27742552409531324,-0.14251245590662712,-0.27742552409444676,-0.14251189024088293,-0.018397017377739328,BERMUDA,America,red,North America,BMU,yellow
17,-0.35883671922445953,-0.003939341206011396,-0.3588367192238257,-0.0039394635289587004,0.16386785946724788,"BOLIVIA, PLURINATIONAL STATE OF",America,red,South America,BOL,green
18,-0.23094599291303713,-0.2077201357244026,-0.2309459929113301,-0.20771942226566042,-0.025977326019958613,BOSNIA AND HERZEGOVINA,America,red,Europe,BIH,purple
19,-0.35658626351899964,-0.002026816318542393,-0.3565862635175786,-0.0020270948668500988,-0.2774301136907203,BOTSWANA,America,red,Africa,BWA,orange
20,-0.3700542582790228,-0.282178716286858,-0.3700542582793156,-0.2821785944401045,0.354732713853942,BRAZIL,America,red,South America,BRA,green
21,-0.33137844576300096,-0.0437116062540968,-0.33137844575817854,-0.0437081115714813,-0.10318155947961193,BRUNEI DARUSSALAM,America,red,Asia,BRN,red
22,-0.3668403638670842,0.21048727354422997,-0.36684036386596314,0.21048858960298175,0.03699914774511782,BULGARIA,America,red,Europe,BGR,purple
23,-0.3044888005383308,-0.2203949886697405,-0.30448880053745075,-0.22039488258568193,-0.06286210239358617,BURKINA FASO,America,red,Africa,BFA,orange
24,-0.3066369106412777,-0.1456410035767067,-0.3066369106387151,-0.14563999004997252,-0.14974215911751235,BURUNDI,America,red,Africa,BDI,orange
25,-0.3132657139398721,-0.15049390997517012,-0.31326571393903885,-0.15049458287296202,-0.15138869681129496,CABO VERDE,America,red,Africa,CPV,orange
26,-0.2685607126771549,-0.1958457396325619,-0.2685607126765265,-0.19584644044593363,-0.0632185958157008,CAMBODIA,America,red,Asia,KHM,red
27,-0.42064390143582964,0.11341018347562301,-0.4206439014351494,0.11340983223183408,-0.22921770314044088,CAMEROON,America,red,Africa,CMR,orange
28,-0.38491356292580525,0.34250601745839954,-0.38491356292450774,0.3425060733707074,0.09642101514666575,CANADA,America,red,Central America,CAN,lightgreen
29,-0.2881557246986042,-0.17360195799837153,-0.2881557246988881,-0.173601519367451,-0.10471333058495844,CENTRAL AFRICAN REPUBLIC,America,red,Africa,CAF,orange
30,-0.34974145985739824,-0.2931206948015673,-0.34974145985671645,-0.29312068945961645,0.34345846450674083,CHILE,America,red,South America,CHL,green
31,-0.2958661557620038,-0.1260289838870751,-0.2958661557629299,-0.1260307440827393,0.14489953445899553,CHINA,America,red,Asia,CHN,red
32,-0.3631924044425245,-0.23998874650689686,-0.36319240444288176,-0.23998890436788414,0.30162367617743513,COLOMBIA,America,red,South America,COL,green
33,-0.39150383426634505,0.03930973550896919,-0.3915038342659662,0.03930916519681258,-0.1771363696372828,COMOROS,America,red,Africa,COM,orange
34,-0.34388010867867885,-0.10430752339882232,-0.343880108676491,-0.1043077442156578,-0.2587216588993321,CONGO,America,red,Africa,COG,orange
35,-0.36785237283083566,-0.05764158211293123,-0.3678523728280516,-0.0576409707240264,-0.042796350486123,"CONGO, DEMOCRATIC REPUBLIC OF THE",America,red,Africa,COD,orange
36,-0.2531947978103427,-0.2755446811433019,-0.25319479780888876,-0.27554428691194066,0.06825420345661695,COSTA RICA,America,red,Central America,CRI,lightgreen
37,-0.42761612289345274,-0.0501894058897481,-0.4276161228942694,-0.050189789940022676,0.11675389045839053,CÔTE D'IVOIRE,America,red,Africa,CIV,orange
38,-0.34214102508207656,0.307480129388208,-0.34214102508022665,0.3074804858481891,0.08407465096141083,CROATIA,America,red,Europe,HRV,purple
39,-0.3008193521065309,-0.21384010149968588,-0.3008193521051954,-0.21383896405588343,0.18240639266797082,CUBA,America,red,North America,CUB,yellow
40,-0.2554565694555542,0.006931978012830223,-0.25545656945642836,0.006932001061934173,-0.02153319662611137,CYPRUS,America,red,Europe,CYP,purple
41,-0.3271730241503829,0.36353957318802815,-0.32717302414861255,0.3635396983989014,0.10378967370723488,CZECHIA,America,red,Europe,CZE,purple
42,-0.36226747720871655,0.4644116129031931,-0.36226747720726166,0.4644111627312533,0.05904065949053967,DENMARK,America,red,Europe,DNK,purple
43,-0.32148717737790283,-0.12499114758090579,-0.32148717737711086,-0.12499109352158869,-0.12409276292659974,DJIBOUTI,America,red,Africa,DJI,orange
44,-0.3967876896767656,-0.267892835010336,-0.3967876896765754,-0.26789246465240685,0.41971678553970676,DOMINICAN REPUBLIC,America,red,North America,DOM,yellow
45,-0.3729873897938093,-0.20448552962795166,-0.3729873897933747,-0.20448561780554433,0.3399709457654277,ECUADOR,America,red,South America,ECU,green
46,-0.36987524051563153,0.03140245532916231,-0.36987524051958226,0.03140114766937861,0.1283005126701559,EGYPT,America,red,Africa,EGY,orange
47,-0.28456902472963375,-0.3076721006610383,-0.2845690247307815,-0.3076722127802355,0.15020809296150286,EL SALVADOR,America,red,Central America,SLV,lightgreen
48,-0.43635980739903485,0.042150259925993964,-0.4363598073995608,0.0421493200524166,-0.01919866924854758,EQUATORIAL GUINEA,America,red,Africa,GNQ,orange
49,-0.32170096216821115,0.45983512950815275,-0.32170096216579136,0.45983603306262066,0.09130474392905301,ESTONIA,America,red,Europe,EST,purple
